,id,name,url_path
63,317598,El Patron,/restaurant/el-patron-6832-w-archer-ave-chicago/317598
64,2576588,JJ Fish & Chicken,/restaurant/jj-fish--chicken-319-harlem-ave-forest-park/2576588
65,1169256,Dough Factory,/restaurant/dough-factory-5321-s-la-grange-rd-la-grange/1169256
66,346716,Lawrence's Fish & Shrimp,/restaurant/lawrences-fish--shrimp-50-s-mannheim-road-hillside/346716
67,1163984,Nicky's (24th and Cicero),/restaurant/nickys-24th-and-cicero-2400-s-cicero-ave-cicero/1163984
68,2561068,Sonic Drive-In,/restaurant/sonic-drive-in-2922-s-cicero-ave-cicero/2561068
69,2043393,New Hong Kong Garden,/restaurant/new-hong-kong-garden-3906-s-harlem-ave-lyons/2043393
70,1583605,The Garage Smokehouse & Bar,/restaurant/the-garage-smokehouse--bar-3202-grove-avenue-berwyn/1583605
71,259310,Nonna's Pizza,/restaurant/nonnas-pizza-42-s-lagrange-rd-la-grange/259310
72,274890,DiNico's Pizza,/restaurant/dinicos-pizza-6627-roosevelt-rd-berwyn/274890
73,3194882,NRebozo,/restaurant/nrebozo-7403-madison-street-forest-park/3194882
74,3226016,Fry Me a River,/restaurant/fry-me-a-river-713-roosevelt-rd-maywood/3226016
75,2070820,Paisans Pizzeria,/restaurant/paisans-pizzeria-5840-w-16th-st-cicero/2070820
76,1573276,Steak n Egger,/restaurant/steak-n-egger-8408-joliet-road-mccook/1573276
77,29811,To Your Taste,/restaurant/to-your-taste-2728-harlem-ave-riverside/29811
78,999413,Blaze Pizza,/restaurant/blaze-pizza-7122-w-cermak-rd-berwyn/999413
79,2869819,Casciani's Pizzeria,/restaurant/cascianis-pizzeria-9200-joliet-rd-hodgkins/2869819
80,2913596,Ella B's,/restaurant/ella-bs-1116-washington-blvd-oak-park/2913596
81,299902,Parrilla Express,/restaurant/parrilla-express-6401-34th-st-berwyn/299902
82,2877211,CraveBurger,/restaurant/craveburger-6746-ogden-ave-berwyn/2877211
83,1210028,Pizza Hut,/restaurant/pizza-hut-2828-s-17th-ave-ste-c-broadview/1210028
84,32201,Anthony's Pizza,/restaurant/anthonys-pizza-6237-w-cermak-rd-berwyn/32201
85,2434495,Triano's Pizza,/restaurant/trianos-pizza-6758-west-archer-avenue-chicago/2434495
86,1932888,Pub 78,/restaurant/pub-78-3733-grand-boulevard-brookfield/1932888
87,2532492,Alamo Taqueria,/restaurant/alamo-taqueria-5900-w-35th-st-cicero/2532492
88,464548,Waldo Cooney's Pizza,/restaurant/waldo-cooneys-pizza-6733-w-cermak-rd-berwyn/464548
89,1901587,Mr Submarine,/restaurant/mr-submarine-9016-47th-street-brookfield/1901587
90,3173304,La Malquerida Latin Fusion,/restaurant/la-malquerida-latin-fusion-6906-windsor-ave-berwyn/3173304
91,1419753,Chicken Factory,/restaurant/chicken-factory-609-w-roosevelt-rd-maywood/1419753
92,1050887,IHOP,/restaurant/ihop-100-s-mannheim-rd-hillside/1050887
93,2724062,Stunod's Pizzeria,/restaurant/stunods-pizzeria-6535-w-63rd-st-chicago/2724062
94,30467,Lugano's Pizza III,/restaurant/luganos-pizza-iii-3444-s-austin-blvd-cicero/30467
95,1426611,Cocula Cicero,/restaurant/cocula-cicero-4836-w-cermak-rd-cicero/1426611
96,2607567,Hall of Fame Sport Lounge,/restaurant/hall-of-fame-sport-lounge-8143-47th-st-lyons/2607567
97,323617,Sliccily Pizza Pub,/restaurant/sliccily-pizza-pub-8427-w-cermak-rd-north-riverside/323617
98,2902733,Tropical Smoothie Cafe,/restaurant/tropical-smoothie-cafe-9404-joliet-rd-hodgkins/2902733
99,2878006,Outlaw Burger,/restaurant/outlaw-burger-6746-ogden-ave-berwyn/2878006
100,2540282,Stella's Sports,/restaurant/stellas-sports-3903-joliet-ave-lyons/2540282
101,3008234,Benjarong Thai Restaurant,/restaurant/benjarong-thai-restaurant-2138-s-mannheim-rd-westchester/3008234
102,1898411,Miro's,/restaurant/miros-6300-ogden-avenue-berwyn/1898411
103,1257553,Scatchells Beef and Pizza,/restaurant/scatchells-beef-and-pizza-4700-w-cermak-rd-cicero/1257553
104,2930571,Wild Burger,/restaurant/wild-burger-7130-cermak-rd-berwyn/2930571
105,2358717,Mr Submarine (Lyons),/restaurant/mr-submarine-lyons-8542-ogden-ave-lyons/2358717
106,1991947,Smilin Goat,/restaurant/smilin-goat-8348-47th-street-lyons/1991947
107,3194771,Conviction Chicken,/restaurant/conviction-chicken-401-n-harlem-ave-oak-park/3194771
108,2166901,Nicco's Bar and Grill,/restaurant/niccos-bar-and-grill-6300-ogden-avenue-berwyn/2166901
109,2046422,Nuevo Poncintlan # 2,/restaurant/nuevo-poncintlan--2-6322-w-26th-st-berwyn/2046422
110,1559197,Golden Steer Steakhouse,/restaurant/golden-steer-steakhouse-7635-roosevelt-road-forest-park/1559197
111,2174974,Ryan's Public House,/restaurant/ryans-public-house-8942-ogden-avenue-brookfield/2174974
112,2353624,Rotisserie Roast,/restaurant/rotisserie-roast-7211-lake-st-river-forest/2353624
113,2514010,Best Buy Chinese and Latin Sushi,/restaurant/best-buy-chinese-and-latin-sushi-5116-w-cermak-rd-cicero/2514010
114,2640040,Fresh Set,/restaurant/fresh-set-2516-south-harlem-ave-north-riverside/2640040
